Rank,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
1,wii-sports,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,0.0,0.0,0.0,0.0,0.0
3,mario-kart-wii,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,0.0,0.0,0.0,0.0,0.0
5,wii-sports-resort,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,0.0,0.0,0.0,0.0,0.0
6,pokmon-red,Role-Playing,E,GB,Nintendo,Game Freak,9.4,0.0,0.0,0.0,0.0,0.0
7,new-super-mario-bros,Platform,E,DS,Nintendo,Nintendo EAD,9.1,0.0,0.0,0.0,0.0,0.0
9,new-super-mario-bros-wii,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,0.0,0.0,0.0,0.0,0.0
12,wii-play,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,0.0,0.0,0.0,0.0,0.0
13,kinect-adventures,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,0.0,0.0,0.0,0.0,0.0
14,nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,0.0,0.0,0.0,0.0,0.0
15,mario-kart-ds,Racing,E,DS,Nintendo,Nintendo EAD,9.1,0.0,0.0,0.0,0.0,0.0
16,pokmon-gold,Role-Playing,E,GB,Nintendo,Game Freak,9.2,0.0,0.0,0.0,0.0,0.0
17,wii-fit,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,0.0,0.0,0.0,0.0,0.0
18,wii-fit-plus,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,0.0,0.0,0.0,0.0,0.0
19,super-mario-world,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,0.0,0.0,0.0,0.0,0.0
20,grand-theft-auto-v,Action,M,PS3,Rockstar Games,Rockstar North,9.4,17.209999999999997,6.37,9.85,0.99,3.12
21,grand-theft-auto-v,Action,M,PS4,Rockstar Games,Rockstar North,9.7,16.37,6.06,9.71,0.6,3.02
22,brain-age-train-your-brain-in-minutes-a-day,Misc,E,DS,Nintendo,Nintendo SDD,8.1,0.0,0.0,0.0,0.0,0.0
25,mario-kart-7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,0.0,0.0,0.0,0.0,0.0
26,pokmon-diamond,Role-Playing,E,DS,Nintendo,Game Freak,8.6,0.0,0.0,0.0,0.0,0.0
27,grand-theft-auto-san-andreas,Action,M,PS2,Rockstar Games,Rockstar North,9.5,0.0,0.0,0.0,0.0,0.0
29,pokmon-x,Role-Playing,E,3DS,Nintendo,Game Freak,8.9,0.0,0.0,0.0,0.0,0.0
30,pokmon-ruby,Role-Playing,E,GBA,Nintendo,Game Freak,8.8,0.0,0.0,0.0,0.0,0.0
31,grand-theft-auto-vice-city,Action,M,PS2,Rockstar Games,Rockstar North,9.6,14.370000000000001,8.41,5.49,0.47,1.78
32,pokmon-sun,Role-Playing,E,3DS,Nintendo,Game Freak,9.0,0.0,0.0,0.0,0.0,0.0
34,pokmon-black,Role-Playing,E,DS,Nintendo,Game Freak,8.6,0.0,0.0,0.0,0.0,0.0
36,mario-kart-8-deluxe,Racing,E,NS,Nintendo,Nintendo EPD,9.3,0.0,0.0,0.0,0.0,0.0
37,counter-strike-source,Shooter,M,PC,VU Games,Valve Software,9.3,0.0,0.0,0.0,0.0,0.0
39,gran-turismo-3-a-spec,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,9.3,0.0,0.0,0.0,0.0,0.0
40,brain-age-2-more-training-in-minutes-a-day,Misc,E,DS,Nintendo,Nintendo SDD,8.0,0.0,0.0,0.0,0.0,0.0
41,call-of-duty-modern-warfare-3,Shooter,M,X360,Activision,Infinity Ward,8.7,13.49,9.07,4.29,0.13,1.33
42,call-of-duty-black-ops,Shooter,M,X360,Activision,Treyarch,8.8,13.6,9.76,3.73,0.11,1.14
43,pokemon-yellow-special-pikachu-edition,Role-Playing,E,GB,Nintendo,Game Freak,8.7,0.0,0.0,0.0,0.0,0.0
44,halo-3,Shooter,M,X360,Microsoft Game Studios,Bungie Studios,9.6,0.0,0.0,0.0,0.0,0.0
46,red-dead-redemption-2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,11.68,5.26,6.21,0.21,2.26
49,super-mario-odyssey,Platform,E10,NS,Nintendo,Nintendo EPD,9.9,0.0,0.0,0.0,0.0,0.0
50,call-of-duty-modern-warfare-2,Shooter,M,X360,Activision,Infinity Ward,9.5,12.249999999999998,8.54,3.63,0.08,1.28
51,call-of-duty-wwii,Shooter,M,PS4,Activision,Sledgehammer Games,8.0,11.28,4.67,6.21,0.4,2.12
52,call-of-duty-modern-warfare-3,Shooter,M,PS3,Activision,Infinity Ward,8.8,11.81,5.54,5.78,0.49,1.54
53,super-smash-bros-brawl,Fighting,T,Wii,Nintendo,Project Sora,9.2,0.0,0.0,0.0,0.0,0.0
54,grand-theft-auto-iii,Action,M,PS2,Rockstar Games,DMA Design,9.5,11.8,6.99,4.51,0.3,1.3
55,new-super-mario-bros-2,Platform,E,3DS,Nintendo,Nintendo,7.5,0.0,0.0,0.0,0.0,0.0
